N;Name;Symbol;Market Cap;Price;Circulating Supply;Volume (24h);1h;24h;7d
57;Aeternity;AE;$148 861 797;$0,556469;267 511 624;$42 529 033;0,02%;1,67%;-2,58%
58;Siacoin;SC;$146 339 372;$0,003575;40 936 954 269;$1 961 865;0,45%;-0,13%;1,05%
59;Dent;DENT;$137 965 779;$0,001928;71 545 838 994 *;$27 386 160;-3,38%;-6,09%;20,31%
60;Qubitica;QBIT;$135 833 631;$48,36;2 808 648 *;$110 938;0,59%;0,55%;9,94%
61;Enjin Coin;ENJ;$132 879 176;$0,172250;771 432 985 *;$18 266 163;3,37%;12,44%;5,26%
62;Bytom;BTM;$132 143 418;$0,131814;1 002 499 275;$17 581 685;0,12%;0,15%;7,59%
63;Steem;STEEM;$130 224 078;$0,410775;317 020 295 *;$1 641 742;0,24%;3,04%;2,99%
64;ABBC Coin;ABBC;$127 505 987;$0,252447;505 080 584;$49 642 216;-0,49%;-5,03%;-8,80%
65;THETA;THETA;$122 007 419;$0,140157;870 502 690 *;$12 040 287;-0,56%;5,58%;11,35%
66;Maximine Coin;MXM;$115 125 049;$0,069815;1 649 000 000 *;$15 232 919;0,83%;26,28%;87,29%
67;ThoreCoin;THR;$112 837 143;$1 301,68;86 686 *;$114 932;-0,23%;1,56%;3,75%
68;Crypto.com;MCO;$106 963 679;$6,77;15 793 831 *;$9 258 196;0,56%;4,10%;13,42%
69;KuCoin Shares;KCS;$105 135 387;$1,17;89 659 415 *;$15 133 339;-0,28%;3,35%;6,18%
70;MaidSafeCoin;MAID;$103 266 859;$0,228188;452 552 412 *;$371 515;0,00%;1,28%;-3,23%
71;Status;SNT;$100 874 890;$0,029067;3 470 483 788 *;$18 750 121;0,90%;2,75%;3,83%
72;Stratis;STRAT;$100 628 417;$1,01;99 351 829 *;$1 881 081;0,49%;2,03%;-0,41%
73;SOLVE;SOLVE;$99 176 152;$0,306123;323 974 478 *;$6 860 307;-1,79%;7,83%;7,06%
74;Mixin;XIN;$96 777 237;$216,90;446 179 *;$342 833;0,46%;-7,78%;-6,53%
75;Waltonchain;WTC;$95 622 782;$2,29;41 682 339 *;$6 804 795;-0,28%;0,74%;2,26%
76;Golem;GNT;$94 206 689;$0,097763;963 622 000 *;$2 109 695;0,95%;2,96%;0,15%
77;Cryptonex;CNX;$91 710 423;$1,65;55 686 329;$1 617 410;0,61%;2,95%;-1,29%
78;Ardor;ARDR;$89 500 740;$0,089590;998 999 495 *;$1 367 582;-0,06%;5,09%;10,09%
79;Insight Chain;INB;$87 147 861;$0,249063;349 902 689 *;$2 909 419;0,15%;-0,93%;-9,35%
80;VestChain;VEST;$87 023 741;$0,012294;7 078 400 000 *;$493 618;-0,36%;1,36%;2,21%
81;TrueChain;TRUE;$86 631 683;$1,09;79 575 543 *;$60 047 222;-0,77%;-1,18%;14,73%
82;Dai;DAI;$81 888 195;$0,999263;81 948 576 *;$60 815 227;0,45%;-0,65%;-0,87%
83;aelf;ELF;$81 328 508;$0,216110;376 330 000 *;$20 495 997;1,16%;-0,29%;-10,45%
84;Metaverse ETP;ETP;$80 222 826;$1,12;71 468 677;$20 274 912;0,76%;-0,80%;21,35%
85;HyperCash;HC;$79 298 524;$1,82;43 529 781;$6 075 311;0,85%;4,61%;43,98%
86;Factom;FCT;$78 662 468;$8,18;9 618 962 *;$542 567;0,15%;0,36%;-2,22%
87;WAX;WAX;$77 077 069;$0,081754;942 791 205 *;$1 275 337;0,47%;4,81%;8,34%
88;Project Pai;PAI;$76 341 454;$0,052633;1 450 445 062 *;$2 167 998;0,03%;-0,60%;4,25%
89;Aion;AION;$75 656 178;$0,237582;318 443 045;$8 401 141;-0,81%;3,70%;17,87%
90;Horizen;ZEN;$74 210 782;$11,27;6 583 513;$5 062 208;0,12%;0,77%;3,62%
91;DigixDAO;DGD;$70 922 339;$35,46;2 000 000 *;$2 728 426;0,50%;-1,69%;1,11%
92;GXChain;GXC;$69 943 756;$1,17;60 000 000 *;$6 801 275;0,45%;0,41%;1,89%
93;Ark;ARK;$69 350 872;$0,615822;112 615 062 *;$1 920 245;-0,15%;3,11%;-3,10%
94;Nash Exchange;NEX;$65 238 036;$1,80;36 196 678 *;$1 513 264;0,02%;-1,83%;20,90%
95;LATOKEN;LA;$63 744 507;$0,167703;380 104 462 *;$23 894 924;0,86%;3,53%;13,96%
96;Decentraland;MANA;$63 103 777;$0,060091;1 050 141 509 *;$22 227 088;3,56%;2,93%;-2,83%
97;Loopring;LRC;$63 092 618;$0,066944;942 467 259 *;$36 785 309;-0,30%;-2,19%;-4,03%
98;Loom Network;LOOM;$62 555 857;$0,078849;793 358 673 *;$2 740 961;0,22%;2,42%;5,39%
99;Revain;R;$62 171 597;$0,128334;484 450 000 *;$1 330 698;-0,01%;-0,65%;1,71%
100;Orbs;ORBS;$59 357 072;$0,036302;1 635 091 511 *;$3 828 312;1,02%;3,84%;0,35%
101;Zcoin;XZC;$58 653 967;$7,70;7 620 793;$2 803 723;0,73%;1,82%;6,76%
102;Nexo;NEXO;$58 614 943;$0,104670;560 000 011 *;$5 350 336;0,92%;1,67%;34,76%
103;NULS;NULS;$56 510 487;$0,787335;71 774 427;$6 067 031;0,02%;0,15%;2,46%
104;NEXT;NET;$56 510 138;$1,12;50 269 268 *;$7 665 770;0,38%;-1,96%;8,26%
105;HedgeTrade;HEDG;$55 782 912;$0,193805;287 829 516 *;$281 640;-5,42%;-4,56%;83,03%
106;Populous;PPT;$55 106 661;$1,03;53 252 246 *;$2 994 921;0,24%;1,12%;0,61%
107;Theta Fuel;TFUEL;$54 945 449;$0,014315;3 838 301 572 *;$13 873 454;0,27%;0,70%;-19,83%
108;Wanchain;WAN;$54 268 292;$0,511230;106 152 493 *;$13 547 693;2,13%;25,03%;24,79%
109;WaykiChain;WICC;$53 921 028;$0,285296;189 000 000 *;$3 531 927;0,51%;1,02%;19,50%
110;Elastos;ELA;$53 785 590;$3,50;15 356 559;$2 052 279;0,24%;-0,73%;-8,16%
111;Newton;NEW;$53 212 786;$0,004454;11 948 333 332;$6 440 199;0,30%;4,04%;6,96%
112;Power Ledger;POWR;$51 101 345;$0,125429;407 412 067 *;$5 092 082;0,22%;2,01%;-0,02%
113;ReddCoin;RDD;$50 073 344;$0,001738;28 808 713 174 *;$807 159;-0,70%;-0,15%;-3,65%
114;Celer Network;CELR;$48 721 905;$0,017131;2 844 044 341 *;$29 975 702;-0,36%;-6,70%;21,83%
115;ODEM;ODE;$47 320 716;$0,205478;230 296 136 *;$6 199 874;0,31%;6,80%;4,73%
116;Japan Content Token;JCT;$46 211 020;$0,157636;293 150 782 *;$154 758;0,17%;-1,12%;5,31%
117;MOAC;MOAC;$45 774 983;$0,732830;62 463 334 *;$40 946;0,08%;-0,38%;-10,87%
118;Bancor;BNT;$45 566 505;$0,751916;60 600 539 *;$2 564 876;0,34%;0,85%;2,02%
119;QASH;QASH;$45 552 001;$0,130149;350 000 000 *;$1 136 269;0,39%;3,09%;1,26%
120;Kyber Network;KNC;$45 484 690;$0,273135;166 528 418 *;$6 173 359;0,17%;1,60%;-3,32%
121;Arcblock;ABT;$44 203 936;$0,448524;98 554 305 *;$9 906 962;0,38%;2,23%;-13,82%
122;Clipper Coin;CCCX;$43 572 353;$0,011541;3 775 570 996 *;$45 405;0,55%;-2,22%;-9,67%
123;Santiment;SAN;$43 392 933;$0,692510;62 660 371 *;$88 101;1,72%;-12,87%;-29,75%
124;Nebulas;NAS;$43 371 634;$1,19;36 328 748 *;$3 432 443;0,33%;-1,02%;2,00%
125;Matic Network;MATIC;$43 034 027;$0,019922;2 160 114 068 *;$36 841 804;-0,97%;-6,86%;-19,00%
126;Polymath;POLY;$43 031 998;$0,101363;424 533 725 *;$5 898 648;0,53%;0,93%;-1,01%
127;PIVX;PIVX;$42 850 939;$0,754668;56 781 166 *;$6 315 920;2,39%;6,24%;5,03%
128;Syscoin;SYS;$42 828 692;$0,077295;554 096 699;$1 321 012;0,03%;2,94%;8,04%
129;FunFair;FUN;$42 635 396;$0,006510;6 548 879 189 *;$1 797 909;0,00%;2,17%;0,10%
130;Bread;BRD;$42 627 046;$0,480391;88 733 978 *;$146 908;0,23%;0,98%;-3,95%
131;Energi;NRG;$41 648 879;$2,48;16 777 350;$342 170;1,01%;15,16%;11,61%
132;IoTeX;IOTX;$41 332 807;$0,011809;3 500 040 005 *;$759 328;0,97%;4,19%;0,63%
133;Fantom;FTM;$40 193 299;$0,022161;1 813 658 595 *;$5 760 363;2,35%;11,11%;26,58%
134;UTRUST;UTK;$40 168 087;$0,089262;450 000 000 *;$2 092 242;1,47%;11,18%;21,77%
135;Electroneum;ETN;$39 417 269;$0,004129;9 546 038 325;$303 820;0,62%;-1,22%;-7,44%
136;Ether Zero;ETZ;$38 630 894;$0,238034;162 291 804;$1 359 025;2,88%;30,02%;128,53%
137;Storj;STORJ;$38 575 891;$0,284090;135 787 439 *;$4 068 781;-0,43%;1,56%;-6,72%
138;Buggyra Coin Zero;BCZERO;$38 499 733;$0,019147;2 010 775 988 *;$32 005;0,35%;-3,86%;1,25%
139;QuarkChain;QKC;$38 232 037;$0,024202;1 579 716 585 *;$19 872 899;-0,13%;3,80%;-8,11%
140;iExec RLC;RLC;$36 773 937;$0,459268;80 070 793 *;$1 448 052;1,38%;5,90%;-6,45%
141;Enigma;ENG;$36 537 165;$0,488229;74 836 171 *;$1 781 617;0,48%;4,33%;1,77%
142;Ecoreal Estate;ECOREAL;$36 030 162;$0,172192;209 243 540 *;$33 170;0,17%;-3,83%;25,75%
143;STASIS EURS;EURS;$35 966 800;$1,12;31 979 207 *;$16 935;0,23%;0,16%;0,54%
144;Nxt;NXT;$35 966 503;$0,036003;998 999 942 *;$1 016 030;0,21%;5,14%;9,42%
145;Lambda;LAMB;$35 708 480;$0,071417;500 000 000 *;$17 394 927;-0,11%;3,50%;11,14%
146;CasinoCoin;CSC;$35 470 666;$0,000917;38 687 842 858 *;$62 638;-4,01%;-6,12%;-14,15%
147;UGAS;UGAS;$35 212 249;$0,206257;170 720 374 *;$671 505;0,57%;1,83%;40,34%
148;EDUCare;EKT;$34 948 201;$0,051944;672 809 651 *;$299 831;0,35%;-2,31%;4,25%
149;Veritaseum;VERI;$34 546 220;$16,07;2 149 646 *;$5 317 225;-1,92%;-3,40%;-20,18%
150;Gas;GAS;$34 242 572;$3,38;10 128 375 *;$2 251 939;0,41%;0,27%;12,48%
151;RIF Token;RIF;$33 805 584;$0,077314;437 251 870 *;$100 562;0,30%;3,51%;-1,45%
152;TomoChain;TOMO;$33 632 560;$0,560298;60 026 200;$1 177 793;0,66%;-1,37%;-1,06%
153;RChain;RHOC;$33 594 008;$0,089874;373 789 868 *;$32 027;6,22%;10,85%;190,27%
154;Groestlcoin;GRS;$32 687 369;$0,449807;72 669 784;$2 321 182;0,72%;6,05%;-0,43%
155;Bibox Token;BIX;$32 352 950;$0,295651;109 429 464 *;$5 025 029;-0,09%;-1,84%;-14,33%
156;Synthetix Network token;SNX;$32 341 945;$0,311164;103 938 541 *;$82 364;-2,48%;-3,93%;92,15%
157;REPO;REPO;$32 118 506;$0,292096;109 958 607 *;$41 247;0,28%;-7,61%;-24,99%
158;CRYPTO20;C20;$31 875 023;$0,787994;40 450 831 *;$8 638;0,25%;-0,91%;7,69%
159;DAPS Token;DAPS;$31 263 057;$0,000595;52 586 828 002 *;$664 431;-2,71%;23,48%;60,38%
160;Particl;PART;$31 113 553;$3,86;8 069 480 *;$21 749;3,49%;4,79%;-8,84%
161;CyberMiles;CMT;$30 988 968;$0,038736;800 000 000 *;$8 039 774;0,79%;-0,05%;-8,12%
162;LINA;LINA;$30 663 945;$0,129733;236 361 396 *;$527 088;0,03%;59,96%;85,54%
163;Cortex;CTXC;$30 651 087;$0,204624;149 792 458 *;$9 279 824;0,08%;1,44%;2,76%
164;Egretia;EGT;$30 624 033;$0,007483;4 092 335 889 *;$4 144 656;-0,15%;0,49%;1,22%
165;Metadium;META;$30 591 719;$0,024563;1 245 430 304 *;$6 244 413;-0,89%;3,03%;23,99%
166;Quantum Resistant ledger;QRL;$30 562 709;$0,448379;68 162 742;$112 393;0,23%;-3,38%;48,32%
167;Ren;REN;$30 494 711;$0,041618;732 735 870 *;$1 387 718;0,02%;-3,93%;33,35%
168;Civic;CVC;$30 335 572;$0,088519;342 699 977 *;$4 800 830;0,38%;7,00%;2,05%
169;Skycoin;SKY;$30 189 513;$2,01;15 000 000 *;$2 422 589;-0,37%;-2,52%;12,10%
170;TenX;PAY;$29 392 669;$0,257046;114 347 861 *;$2 175 890;-0,17%;1,57%;0,46%
171;Fusion;FSN;$29 089 725;$0,944944;30 784 601 *;$1 926 479;0,47%;-1,69%;8,99%
172;Obyte;GBYTE;$29 019 581;$42,74;679 008 *;$72 170;-0,40%;14,27%;10,36%
173;INO COIN;INO;$28 870 127;$1,44;20 000 000 *;$1 656 092;0,32%;0,02%;10,66%
174;Cindicator;CND;$28 802 916;$0,019919;1 445 976 590 *;$763 349;0,01%;6,64%;6,78%
175;Kin;KIN;$28 348 136;$0,000037;756 097 560 976 *;$1 737 250;1,10%;3,18%;-9,20%
176;IPChain;IPC;$27 850 668;$0,359618;77 445 121 *;$1 458 130;1,28%;6,19%;35,58%
177;Mainframe;MFT;$27 750 340;$0,003589;7 731 870 923 *;$9 595 535;-0,60%;0,64%;-1,89%
178;Grin;GRIN;$27 598 859;$2,32;11 887 920;$21 082 175;0,75%;-1,71%;-1,47%
179;SingularityNET;AGI;$27 337 867;$0,050656;539 673 260 *;$1 305 708;0,11%;0,68%;5,84%
180;Mithril;MITH;$27 130 556;$0,047655;569 316 902 *;$5 693 851;0,89%;2,57%;-16,59%
181;Gnosis;GNO;$26 553 292;$24,04;1 104 590 *;$134 621;0,21%;-1,14%;-0,42%
182;MediBloc [ERC20];MEDX;$26 305 615;$0,007951;3 308 598 885 *;$1 556 193;0,31%;4,31%;5,34%
183;ProximaX;XPX;$26 004 541;$0,004265;6 097 456 550 *;$4 553 637;1,51%;-4,41%;-14,08%
184;Eidoo;EDO;$25 977 973;$0,887788;29 261 461 *;$6 532 662;0,95%;0,95%;5,73%
185;Hyperion;HYN;$25 575 489;$0,080739;316 765 917 *;$574 681;0,30%;0,00%;0,20%
186;Clams;CLAM;$25 359 255;$7,01;3 618 352 *;$166 951;0,82%;1,15%;-46,06%
187;Robotina;ROX;$24 939 359;$0,084069;296 654 310 *;$48 982;2,28%;1,46%;-4,57%
188;Cosmo Coin;COSM;$24 656 550;$0,036758;670 780 889 *;$6 887 361;-0,03%;1,22%;11,39%
189;Vertcoin;VTC;$24 409 576;$0,490740;49 740 347;$356 298;-0,38%;-1,78%;2,66%
190;Einsteinium;EMC2;$24 336 997;$0,111287;218 687 099;$2 161 386;0,01%;-1,52%;0,62%
191;Gifto;GTO;$23 971 195;$0,039673;604 212 222 *;$18 601 563;0,69%;2,27%;8,15%
192;#MetaHash;MHC;$23 950 294;$0,023793;1 006 610 766 *;$957 571;-0,03%;-1,25%;-4,36%
193;Cajutel;CAJ;$23 818 184;$17,62;1 351 983 *;$48 574;0,32%;-14,06%;45,86%
194;Aragon;ANT;$23 700 627;$0,771841;30 706 603 *;$90 251;0,66%;4,89%;6,12%
195;Dynamic Tradi...;DTR;$23 496 668;$0,018471;1 272 118 215 *;$1 112;2,85%;1,38%;-7,41%
196;Nexus;NXS;$23 468 436;$0,393054;59 707 886;$850 032;-0,02%;8,53%;10,61%
197;Telcoin;TEL;$23 180 283;$0,000628;36 934 770 221 *;$343 027;-0,72%;0,76%;2,81%
198;BnkToTheFuture;BFT;$23 176 062;$0,031748;729 989 999 *;$779 629;0,42%;2,86%;-0,34%
199;IoT Chain;ITC;$23 046 018;$0,319095;72 223 009 *;$5 493 331;-0,59%;3,35%;4,34%
200;Metal;MTL;$22 983 337;$0,515485;44 585 821 *;$6 646 970;1,90%;11,92%;8,93%
201;Pirate Chain;ARRR;$22 624 500;$0,225755;100 216 937;$44 882;1,38%;10,60%;97,56%
202;Quant;QNT;$22 366 229;$2,29;9 777 236 *;$2 801 481;0,34%;3,71%;-5,75%
203;Cred;LBA;$21 932 690;$0,040439;542 362 137 *;$1 014 785;1,04%;0,33%;-0,74%
204;NKN;NKN;$21 877 979;$0,062509;350 000 000 *;$885 549;-0,65%;6,34%;-1,46%
205;Noah Coin;NOAH;$21 861 585;$0,000669;32 687 957 978 *;$406 649;1,87%;4,24%;-17,26%
206;Lightning Bit...;LBTC;$21 651 776;$5,61;3 860 808;$1 003 786;-0,19%;3,78%;1,84%
207;ILCoin;ILC;$21 644 523;$0,072802;297 305 622;$1 358 802;0,42%;-8,30%;-16,91%
208;Digitex Futures;DGTX;$21 644 021;$0,028808;751 312 184 *;$1 240 921;-0,80%;-0,20%;-15,75%
209;Gemini Dollar;GUSD;$21 485 572;$0,998109;21 526 280 *;$37 372 989;0,13%;0,23%;-0,84%
210;Dragonchain;DRGN;$21 112 180;$0,088550;238 421 940 *;$1 184 647;0,23%;15,74%;5,63%
211;Everipedia;IQ;$21 070 821;$0,004676;4 506 302 133 *;$1 311 518;0,93%;2,20%;-12,18%
212;Storm;STORM;$20 971 208;$0,003644;5 754 686 101 *;$1 062 539;0,30%;0,44%;-1,73%
213;TokenPay;TPAY;$20 879 265;$1,30;16 060 004 *;$972 652;-0,13%;0,01%;5,03%
214;Ignis;IGNIS;$20 784 278;$0,027307;761 143 950 *;$838 481;0,87%;1,93%;14,51%
215;Moeda Loyalty...;MDA;$20 561 006;$1,05;19 628 888 *;$2 643 510;1,18%;6,38%;6,46%
216;Raiden Networ...;RDN;$20 449 129;$0,404181;50 593 936 *;$1 199 735;1,25%;1,37%;25,44%
217;Streamr DATAcoin;DATA;$20 443 159;$0,030190;677 154 514 *;$1 105 459;-0,08%;10,50%;22,79%
218;Davinci Coin;DAC;$20 315 793;$0,005640;3 601 858 620 *;$668 460;-2,20%;-7,07%;3,96%
219;TOP;TOP;$20 308 362;$0,007805;2 601 806 720 *;$6 011 239;0,48%;4,85%;4,60%
220;Odyssey;OCN;$20 283 106;$0,002831;7 163 634 532 *;$9 179 691;0,64%;5,24%;9,16%
221;Spectre.ai Di...;SXDT;$20 057 938;$0,244390;82 073 519 *;$4 272;0,43%;-5,94%;-34,00%
222;High Performa...;HPB;$19 971 935;$0,457862;43 619 949 *;$4 565 971;0,45%;-1,99%;20,37%
223;Neblio;NEBL;$19 915 478;$1,37;14 500 823 *;$445 086;-0,22%;-1,68%;4,12%
224;BTU Protocol;BTU;$19 770 500;$0,282392;70 010 783 *;$49 588;0,21%;3,83%;10,46%
225;Blocknet;BLOCK;$19 456 340;$3,34;5 822 261 *;$287 757;-0,94%;4,58%;2,61%
226;BitKan;KAN;$19 405 610;$0,004853;3 998 318 723 *;$2 392 296;0,18%;3,89%;7,86%
227;Apollo Currency;APL;$19 022 331;$0,001295;14 685 096 531 *;$981 735;1,83%;-2,24%;-17,16%
228;Contents Prot...;CPT;$19 007 463;$0,007911;2 402 724 804 *;$9 498 095;-0,28%;4,96%;-1,02%
229;Linkey;LKY;$18 956 193;$0,379124;50 000 000 *;$129 882;-0,14%;7,44%;-31,56%
230;Aergo;AERGO;$18 937 715;$0,182208;103 934 838 *;$2 377 101;0,26%;1,37%;-1,69%
231;S4FE;S4F;$18 777 539;$0,098183;191 250 141 *;$4 030;0,31%;22,99%;34,70%
232;Tael;WABI;$18 647 821;$0,330372;56 444 914 *;$991 874;1,66%;2,64%;-0,15%
233;Everex;EVX;$18 641 838;$0,824860;22 600 000 *;$5 368 139;0,23%;7,04%;12,63%
234;SCRL;SCRL;$18 401 537;$0,095647;192 389 931 *;$708 391;1,39%;1,04%;-1,75%
235;Ripio Credit ...;RCN;$18 334 138;$0,036624;500 610 593 *;$3 180 380;1,13%;10,79%;18,15%
236;Po.et;POE;$18 273 677;$0,005817;3 141 592 653 *;$187 921;1,46%;2,98%;-4,83%
237;Function X;FX;$18 192 395;$0,734112;24 781 489 *;$32 908;0,25%;2,00%;23,96%
238;GoChain;GO;$18 182 724;$0,025201;721 505 650 *;$1 711 602;1,89%;4,24%;7,15%
239;Red Pulse Pho...;PHX;$18 077 631;$0,021791;829 588 687 *;$10 726 248;-2,46%;0,11%;-23,89%
240;Request;REQ;$17 899 526;$0,024523;729 894 475 *;$382 665;0,89%;0,60%;-4,01%
241;TRONCLASSIC;TRXC;$17 818 593;$0,000038;465 107 478 370 *;$811;0,04%;107,15%;-46,95%
242;Ankr Network;ANKR;$17 794 281;$0,007926;2 244 943 563 *;$2 615 975;-0,04%;2,48%;-2,72%
243;SafeInsure;SINS;$17 704 590;$6,49;2 727 647 *;$1 962 295;0,15%;0,20%;0,46%
244;OST;OST;$17 448 952;$0,027410;636 585 693 *;$1 153 728;-0,44%;2,68%;-3,82%
245;Matrix AI Net...;MAN;$17 433 226;$0,116222;150 000 000 *;$1 069 162;1,23%;-6,86%;23,48%
246;Quantstamp;QSP;$17 309 468;$0,028040;617 314 171 *;$1 424 111;0,12%;7,24%;7,09%
247;STEM CELL COIN;SCC;$17 276 669;$0,053879;320 658 118 *;$70 386;-0,92%;1,76%;4,57%
248;Bitcore;BTX;$17 205 199;$1,01;17 087 965;$11 056;1,93%;5,55%;11,42%
249;SaluS;SLS;$17 169 466;$16,96;1 012 265 *;$6 754;0,19%;3,41%;8,94%
250;Aeon;AEON;$16 918 532;$1,07;15 831 459;$56 563;-1,80%;12,83%;89,54%
